COUNTY,STATE,ZHVI_2020,ZHVI_2021,ZHVI_2023,WFIR_AFREQ_2020,WFIR_EXPT_2020,WFIR_RISKS_2020,WFIR_AFREQ_2021,WFIR_EXPT_2021,WFIR_RISKS_2021,WFIR_AFREQ_2023,WFIR_EXPT_2023,WFIR_RISKS_2023
Worcester County,MA,313587.396275315,362253.44928922487,424256.8961881031,6.0996230258e-05,94978212912.06772,5.004119100584931,6.0996230258e-05,97507104283.25728,5.114534128550602,0.000133803356039,381595508915.8309,72.00127266942413
Essex County,NJ,440014.9998885663,490779.1661628419,555991.7203775943,6.5146549834e-05,284361959.3864289,2.49711858343858,6.5146549834e-05,291698021.3345669,2.494214701311777,1.1617544127e-05,81921722538.10489,12.790327712376708
Montgomery County,PA,324148.7518256664,367656.0662181801,428085.9606715113,0.000126258553248,5946810248.194446,1.900860647785016,0.000126258553248,6104270430.00714,1.89570038703723,6.119270503e-05,70024492847.46944,44.09799554565701
Baltimore County,MD,270431.9632692316,300191.6747381002,331097.85322446644,3.4667234234e-05,1559425963.4425654,1.363922674939141,3.4667234234e-05,1600885709.3672569,1.360020797021472,1.0425532986e-05,814273823987.6141,52.14762965319758
Baltimore County,MD,270431.9632692316,300191.6747381002,331097.85322446644,3.4667234234e-05,1559425963.4425654,1.363922674939141,3.4667234234e-05,1600885709.3672569,1.360020797021472,9.999999747e-06,383157085307.2443,41.07540566337894
Baltimore County,MD,270431.9632692316,300191.6747381002,331097.85322446644,3.4667234234e-05,1559425963.4425654,1.363922674939141,9.869436365e-06,0.0,0.0,1.0425532986e-05,814273823987.6141,52.14762965319758
Baltimore County,MD,270431.9632692316,300191.6747381002,331097.85322446644,3.4667234234e-05,1559425963.4425654,1.363922674939141,9.869436365e-06,0.0,0.0,9.999999747e-06,383157085307.2443,41.07540566337894
Baltimore County,MD,270431.9632692316,300191.6747381002,331097.85322446644,9.869436365e-06,0.0,0.0,3.4667234234e-05,1600885709.3672569,1.360020797021472,1.0425532986e-05,814273823987.6141,52.14762965319758
Baltimore County,MD,270431.9632692316,300191.6747381002,331097.85322446644,9.869436365e-06,0.0,0.0,3.4667234234e-05,1600885709.3672569,1.360020797021472,9.999999747e-06,383157085307.2443,41.07540566337894
Baltimore County,MD,270431.9632692316,300191.6747381002,331097.85322446644,9.869436365e-06,0.0,0.0,9.869436365e-06,0.0,0.0,1.0425532986e-05,814273823987.6141,52.14762965319758
